Income,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Complain,Age,Customer Loyalty,TotalMntSpent,TotalNumPurchases,Total_Acc_Cmp,Children,Partner,Education_Level,Cluster
58138.0,0,0,58,7,0,57,663,1617.0,25.0,1.0,0.0,0,0,1
46344.0,1,1,38,5,0,60,113,27.0,6.0,0.0,2.0,0,0,1
71613.0,0,0,26,4,0,49,312,776.0,21.0,0.0,0.0,1,0,3
26646.0,1,0,26,6,0,30,139,53.0,8.0,0.0,1.0,1,0,0
58293.0,1,0,94,5,0,33,161,422.0,19.0,0.0,1.0,1,1,3
62513.0,0,1,16,6,0,47,293,716.0,22.0,0.0,1.0,1,1,1
55635.0,0,1,34,6,0,43,593,590.0,21.0,0.0,1.0,0,0,2
33454.0,1,0,32,8,0,29,417,169.0,10.0,0.0,1.0,1,1,0
30351.0,1,0,19,9,0,40,388,46.0,6.0,1.0,1.0,1,1,0
5648.0,1,1,68,13,0,64,108,49.0,2.0,1.0,2.0,1,1,0
7500.0,0,0,59,8,0,38,593,61.0,6.0,0.0,0.0,1,2,0
63033.0,0,0,82,2,0,55,226,1102.0,16.0,0.0,0.0,0,0,1
59354.0,1,1,53,6,0,62,226,310.0,15.0,0.0,2.0,0,1,1
17323.0,0,0,38,8,0,27,627,46.0,5.0,0.0,0.0,1,0,0
82800.0,0,0,23,3,0,68,582,1315.0,26.0,2.5,0.0,0,1,1
41850.0,1,1,51,8,0,34,552,96.0,9.0,0.0,2.0,1,0,0
37760.0,0,0,20,7,0,68,667,317.0,13.0,0.0,0.0,1,0,1
76995.0,0,1,91,5,0,65,458,1782.0,26.0,1.0,1.0,1,1,1
33812.0,1,0,86,6,0,29,603,133.0,8.0,0.0,1.0,0,2,2
37040.0,0,0,41,8,0,32,690,316.0,12.0,0.0,0.0,1,0,0
2447.0,1,0,42,1,0,35,539,1730.0,40.5,0.0,1.0,1,0,0
58607.0,0,1,63,8,0,65,553,972.0,17.0,1.0,1.0,1,1,1
65324.0,0,1,0,4,0,60,169,544.0,20.0,0.0,1.0,1,1,1
40689.0,0,1,69,8,0,63,468,444.0,20.0,0.0,1.0,1,0,1
18589.0,0,0,89,7,0,45,543,75.0,8.0,0.0,0.0,0,0,2
53359.0,1,1,4,7,0,38,398,257.0,14.0,0.0,2.0,1,0,0
38360.0,1,0,26,3,0,25,394,131.0,9.0,0.0,1.0,1,0,0
84618.0,0,0,96,2,0,49,219,1672.0,26.0,1.0,0.0,1,1,3
10979.0,0,0,34,5,0,25,38,30.0,8.0,0.0,0.0,0,1,2
38620.0,0,0,56,3,0,51,414,318.0,11.0,0.0,0.0,1,1,0
40548.0,0,1,31,5,0,44,627,120.0,9.0,1.0,1.0,1,0,0
46610.0,0,2,8,6,0,62,608,302.0,17.0,1.0,2.0,0,1,1
68657.0,0,0,4,7,0,68,494,1196.0,18.0,0.0,0.0,1,1,1
49389.0,1,1,55,7,0,63,304,65.0,6.0,0.0,2.0,0,1,1
67353.0,0,1,37,2,0,44,180,913.0,28.0,0.0,1.0,1,1,3
23718.0,1,0,76,7,0,38,300,81.0,9.0,0.0,1.0,1,2,0
42429.0,0,1,99,5,0,41,138,67.0,7.0,0.0,1.0,0,0,2
48948.0,0,0,53,6,0,71,513,902.0,24.0,2.0,0.0,0,1,1
80011.0,0,1,3,4,0,34,426,1395.0,21.0,0.0,1.0,1,0,3
20559.0,1,0,88,8,0,29,474,53.0,7.0,0.0,1.0,1,1,0
21994.0,0,1,4,5,0,57,552,22.0,4.0,0.0,1.0,1,0,0
7500.0,1,0,19,5,0,39,270,31.0,8.0,0.0,1.0,1,1,0
79941.0,0,0,72,1,0,38,1,984.0,16.0,0.0,0.0,0,0,3
7500.0,0,0,24,9,0,18,597,122.0,10.0,1.0,0.0,1,2,0
41728.0,1,0,92,10,0,46,401,55.0,5.0,0.0,1.0,1,0,0
72550.0,1,1,39,8,0,60,598,1319.0,28.0,0.0,2.0,1,1,1
65486.0,0,1,29,2,0,57,48,507.0,17.0,0.0,1.0,0,0,1
79143.0,0,0,2,3,0,50,687,1693.0,29.0,0.0,0.0,1,1,1
35790.0,1,0,54,7,0,37,543,72.0,7.0,0.0,1.0,0,0,2
82582.0,0,0,54,1,0,37,22,1617.0,21.0,2.5,0.0,0,0,3
66373.0,1,1,57,3,0,36,382,606.0,23.0,0.0,2.0,1,0,3
82384.0,0,0,55,1,0,59,587,1957.0,27.0,2.0,0.0,1,1,1
70287.0,0,0,30,3,0,48,453,1093.0,21.0,1.0,0.0,0,0,3
27938.0,1,0,31,3,0,26,62,29.0,6.0,0.0,1.0,0,0,2
55954.0,0,1,63,7,0,46,118,518.0,19.0,0.0,1.0,1,1,1
75777.0,0,0,12,1,0,32,360,1438.0,21.0,2.5,0.0,0,1,3
66653.0,1,1,18,3,0,39,660,612.0,22.0,0.0,2.0,1,0,3
61823.0,0,1,26,7,0,62,496,884.0,24.0,0.0,1.0,0,0,1
67680.0,0,1,8,5,0,63,383,606.0,19.0,0.0,1.0,0,1,1
70666.0,0,0,29,4,0,66,205,1076.0,16.0,0.0,0.0,1,0,1
25721.0,1,0,75,7,0,43,404,34.0,5.0,1.0,1.0,1,0,0
32474.0,1,1,0,7,0,47,49,11.0,4.0,0.0,2.0,1,0,0
88194.0,0,1,19,5,0,35,102,1274.0,32.0,2.5,1.0,0,2,3
69096.0,0,1,4,4,0,56,275,653.0,18.0,0.0,1.0,1,0,1
74854.0,1,2,90,5,0,44,447,1562.0,19.0,0.0,2.5,1,0,3
66991.0,0,0,1,3,0,60,656,1253.0,21.0,0.0,0.0,1,1,1
65031.0,0,1,29,7,0,55,469,863.0,30.0,0.0,1.0,1,0,1
60631.0,1,1,88,7,0,39,450,661.0,24.0,1.0,2.0,1,1,3
28332.0,0,0,58,2,0,62,60,65.0,8.0,0.0,0.0,1,0,1
40246.0,1,0,68,6,0,37,557,13.0,4.0,0.0,1.0,0,0,2
75251.0,0,0,34,5,0,42,671,1890.0,19.0,1.0,0.0,1,1,3
75825.0,0,0,40,4,0,38,625,2209.0,22.0,2.0,0.0,0,0,3
26326.0,0,0,12,3,0,38,298,18.0,4.0,0.0,0.0,1,2,0
56046.0,0,0,9,8,0,49,543,692.0,21.0,2.0,0.0,1,0,1
29760.0,1,0,87,8,0,29,669,165.0,12.0,0.0,1.0,0,0,2
26304.0,1,0,5,7,0,45,371,16.0,4.0,0.0,1.0,1,0,0
23559.0,1,0,87,7,0,41,361,79.0,9.0,0.0,1.0,1,2,0
38620.0,0,0,56,3,0,51,414,318.0,11.0,0.0,0.0,1,1,0
81361.0,0,0,18,1,0,27,124,778.0,27.0,0.0,0.0,0,0,3
29440.0,1,1,95,7,0,54,322,56.0,7.0,0.0,2.0,1,0,0
36138.0,1,1,48,7,0,44,348,151.0,13.0,1.0,2.0,1,1,0
50388.0,0,1,3,7,0,57,32,372.0,17.0,2.5,1.0,0,0,1
79593.0,0,0,70,2,0,41,48,1366.0,19.0,1.0,0.0,1,0,3
54178.0,0,1,79,2,0,47,159,194.0,10.0,0.0,1.0,1,0,1
42394.0,1,0,69,7,0,42,98,32.0,5.0,0.0,1.0,0,1,2
23626.0,1,0,84,5,0,44,36,43.0,10.0,0.0,1.0,1,1,0
30096.0,1,0,30,6,0,31,38,45.0,6.0,0.0,1.0,1,0,0
47916.0,0,1,72,6,0,54,584,606.0,22.0,1.0,1.0,0,0,1
51813.0,1,1,37,7,0,42,444,63.0,7.0,0.0,2.0,0,0,2
78497.0,0,0,44,2,0,63,210,978.0,25.0,1.0,0.0,1,2,1
50150.0,0,0,32,5,0,31,374,410.0,16.0,0.0,0.0,1,1,0
47823.0,0,1,0,8,0,54,341,72.0,7.0,0.0,1.0,0,2,2
34554.0,0,1,43,6,0,55,91,55.0,7.0,0.0,1.0,0,1,2
85693.0,0,1,59,5,0,35,435,1169.0,27.0,0.0,1.0,1,0,3
65846.0,0,0,68,4,0,69,408,1120.0,16.0,0.0,0.0,1,1,1
87195.0,0,0,35,1,0,55,52,1097.0,20.0,1.0,0.0,1,0,1
24594.0,1,0,94,5,0,35,201,29.0,5.0,0.0,1.0,1,2,0
49096.0,1,1,15,7,0,50,278,187.0,13.0,0.0,2.0,1,0,1
52413.0,0,2,56,6,0,45,512,910.0,26.0,0.0,2.0,1,0,0
38557.0,1,0,17,7,0,36,557,145.0,9.0,0.0,1.0,0,0,2
89058.0,0,0,18,2,0,54,569,850.0,14.0,0.0,0.0,1,1,1
77298.0,0,1,46,3,0,35,239,969.0,24.0,0.0,1.0,1,0,3
68126.0,0,0,40,9,0,23,596,1820.0,17.0,2.0,0.0,0,1,3
57288.0,0,1,27,6,0,51,4,608.0,20.0,1.0,1.0,1,1,1
86037.0,0,0,95,3,0,23,543,730.0,25.0,2.5,0.0,0,0,3
43974.0,1,0,19,7,0,34,564,551.0,21.0,0.0,1.0,1,1,0
50785.0,1,1,27,6,0,52,292,114.0,8.0,0.0,2.0,0,0,2
90765.0,0,0,25,1,0,44,156,1724.0,15.0,2.0,0.0,1,0,3
36550.0,1,0,74,9,0,36,495,577.0,20.0,0.0,1.0,1,2,0
30753.0,1,1,85,5,0,47,353,81.0,7.0,0.0,2.0,1,2,0
21918.0,1,0,37,6,0,45,227,33.0,7.0,0.0,1.0,1,0,0
56129.0,0,1,65,4,0,61,374,660.0,22.0,0.0,1.0,1,1,1
32557.0,1,0,13,5,0,47,125,80.0,9.0,1.0,1.0,0,1,2
19510.0,2,0,63,7,0,29,298,30.0,6.0,0.0,2.0,1,1,0
30992.0,1,0,83,7,0,38,433,43.0,5.0,0.0,1.0,0,0,2
101970.0,0,0,69,2,0,31,474,1135.0,27.0,2.5,0.0,0,0,3
71488.0,0,0,87,1,0,49,496,559.0,16.0,0.0,0.0,1,2,3
79607.0,0,0,37,1,0,30,434,1923.0,16.0,1.0,0.0,0,0,3
54348.0,1,1,51,6,0,61,21,90.0,8.0,0.0,2.0,1,1,1
77376.0,1,1,72,4,0,58,50,661.0,23.0,0.0,2.0,1,1,1
62998.0,0,1,10,5,0,62,272,463.0,19.0,0.0,1.0,1,0,1
61331.0,1,1,42,8,0,56,476,632.0,23.0,0.0,2.0,0,1,1
73448.0,0,0,10,4,0,45,139,725.0,19.0,0.0,0.0,1,0,3
41551.0,1,1,51,8,0,50,319,279.0,16.0,0.0,2.0,1,1,0
62981.0,0,0,21,3,0,47,469,1482.0,23.0,1.0,0.0,1,1,1
9548.0,1,0,31,8,0,38,690,29.0,6.0,0.0,1.0,0,2,2
33762.0,2,1,61,8,0,55,357,106.0,9.0,0.0,2.5,1,1,1
35860.0,1,1,37,5,0,41,41,49.0,6.0,2.0,2.0,0,1,2
36921.0,1,1,74,7,0,49,336,38.0,7.0,0.0,2.0,0,1,2
92859.0,0,0,46,2,0,22,618,2077.0,22.0,0.0,0.0,0,1,3
65104.0,0,1,4,7,0,38,227,1053.0,17.0,1.0,1.0,1,1,3
86111.0,0,0,73,2,0,52,436,1385.0,23.0,0.0,0.0,1,0,1
68352.0,0,1,47,6,0,40,305,871.0,25.0,0.0,1.0,0,1,3
41883.0,1,0,13,7,0,26,467,312.0,12.0,0.0,1.0,1,0,0
59809.0,0,2,36,8,0,38,619,877.0,15.0,0.0,2.0,1,0,3
23957.0,1,0,47,6,0,39,609,68.0,6.0,1.0,1.0,1,0,0
38547.0,1,0,49,8,0,33,305,22.0,4.0,0.0,1.0,1,0,0
35688.0,2,1,94,8,0,41,676,211.0,16.0,0.0,2.5,1,2,0
49605.0,0,0,65,3,0,48,8,127.0,8.0,0.0,0.0,1,1,1
59354.0,0,2,59,3,0,61,66,459.0,16.0,0.0,2.0,1,1,1
65747.0,0,1,96,6,0,45,114,460.0,19.0,1.0,1.0,1,0,3
46344.0,0,1,28,7,0,42,562,429.0,17.0,0.0,1.0,1,2,0
34176.0,1,0,12,6,0,26,48,89.0,11.0,0.0,1.0,0,0,2
61010.0,0,1,57,5,0,62,628,1021.0,26.0,0.0,1.0,1,1,1
69372.0,0,0,10,4,0,65,495,1381.0,21.0,2.5,0.0,1,0,1
49967.0,0,1,4,7,0,56,356,306.0,15.0,0.0,1.0,0,0,1
60199.0,1,2,49,4,0,36,290,18.0,4.0,0.0,2.5,0,0,3
55375.0,0,1,3,2,0,37,255,162.0,9.0,0.0,1.0,1,0,3
80317.0,0,0,64,1,0,59,313,1231.0,18.0,0.0,0.0,0,0,1
30523.0,2,1,0,7,0,56,363,13.0,4.0,0.0,2.5,0,1,2
70356.0,0,0,20,6,0,69,601,1706.0,27.0,0.0,0.0,1,1,1
23228.0,1,0,91,8,0,30,175,121.0,11.0,0.0,1.0,1,0,0
74165.0,0,0,9,2,0,39,424,1293.0,20.0,0.0,0.0,0,1,3
118350.5,0,1,98,0,0,41,120,1608.0,37.0,0.0,1.0,1,1,3
43482.0,2,1,83,6,0,48,228,88.0,9.0,0.0,2.5,1,0,0
62551.0,0,0,27,3,0,61,223,421.0,18.0,1.0,0.0,0,0,1
52332.0,0,0,63,4,0,55,305,259.0,12.0,1.0,0.0,0,0,1
66951.0,0,0,46,1,0,26,239,1117.0,15.0,0.0,0.0,0,0,3
26091.0,1,1,84,5,0,57,124,89.0,9.0,0.0,2.0,1,0,0
33456.0,1,1,58,7,0,49,69,36.0,6.0,0.0,2.0,1,0,0
28718.0,1,0,78,8,0,32,351,57.0,7.0,0.0,1.0,1,0,0
50447.0,2,0,4,6,0,44,69,148.0,8.0,0.0,2.0,1,0,0
53537.0,1,1,17,5,0,55,150,93.0,8.0,0.0,2.0,1,1,1
52074.0,0,1,77,4,0,47,86,119.0,7.0,1.0,1.0,0,0,2
80427.0,0,1,56,5,0,39,655,1835.0,28.0,0.0,1.0,1,1,3
83837.0,0,0,79,4,0,66,560,1318.0,25.0,2.5,0.0,1,1,1
38853.0,1,1,90,7,0,44,37,45.0,7.0,0.0,2.0,1,1,0
38285.0,2,1,96,2,0,55,5,10.0,4.0,0.0,2.5,1,0,1
78497.0,0,0,44,2,0,63,210,978.0,25.0,1.0,0.0,1,2,1
51650.0,0,1,81,5,0,38,49,191.0,10.0,0.0,1.0,1,1,0
16248.0,1,0,77,6,0,26,50,57.0,9.0,0.0,1.0,1,2,0
66835.0,0,0,21,2,0,68,274,1033.0,24.0,0.0,0.0,1,1,1
30477.0,1,0,16,6,0,30,158,66.0,6.0,0.0,1.0,1,1,0
28249.0,0,0,80,6,0,53,14,43.0,6.0,0.0,0.0,1,2,0
25271.0,1,0,45,9,0,31,571,50.0,5.0,0.0,1.0,1,0,0
32303.0,0,1,63,5,0,44,113,39.0,7.0,0.0,1.0,0,1,2
61286.0,0,1,34,5,0,48,331,608.0,18.0,0.0,1.0,1,0,1
74068.0,0,0,14,2,0,38,467,1581.0,24.0,0.0,0.0,1,0,3
45759.0,1,1,13,7,0,50,491,68.0,7.0,0.0,2.0,1,1,1
24882.0,1,0,52,6,0,36,658,80.0,5.0,1.0,1.0,1,2,0
66973.0,0,0,98,3,0,25,408,1282.0,28.0,0.0,0.0,1,1,3
36640.0,1,0,99,5,0,82,276,65.0,6.0,0.0,1.0,0,2,1
38872.0,1,0,93,8,0,26,395,91.0,8.0,0.0,1.0,1,0,0
51148.0,1,1,38,6,0,41,496,315.0,16.0,0.0,2.0,1,0,0
31353.0,1,1,24,8,0,37,182,31.0,6.0,0.0,2.0,1,0,0
69661.0,0,0,80,3,0,34,47,834.0,23.0,0.0,0.0,1,1,3
80067.0,0,0,82,2,0,60,283,1600.0,17.0,1.0,0.0,1,0,1
86718.0,0,0,20,2,0,60,528,1270.0,17.0,0.0,0.0,1,0,1
46854.0,1,1,81,8,0,41,90,263.0,15.0,2.0,2.0,0,1,2
69142.0,0,1,50,5,0,62,0,535.0,19.0,1.0,1.0,0,0,1
75922.0,0,0,60,1,0,46,202,1295.0,18.0,0.0,0.0,0,0,3
63693.0,0,1,63,6,0,36,258,1150.0,29.0,0.0,1.0,0,0,3
102160.0,0,0,54,4,0,37,604,1240.0,26.0,2.5,0.0,1,1,3
40637.0,1,1,72,7,0,49,347,38.0,6.0,0.0,2.0,0,1,2
18890.0,0,0,5,6,0,30,596,35.0,4.0,2.0,0.0,0,1,2
29604.0,1,0,88,9,0,26,203,53.0,5.0,1.0,1.0,1,0,0
48721.0,1,1,50,6,0,51,412,293.0,17.0,0.0,2.0,0,1,2
44794.0,0,1,99,6,0,48,21,65.0,6.0,0.0,1.0,1,0,0
64497.0,0,1,17,8,0,60,657,1804.0,29.0,2.0,1.0,0,0,1
46097.0,0,1,11,4,0,58,455,241.0,15.0,0.0,1.0,1,0,1
77972.0,0,0,18,1,0,60,103,1101.0,20.0,0.0,0.0,1,0,1
44377.0,1,1,70,8,0,46,632,264.0,19.0,0.0,2.0,1,1,0
46014.0,1,1,21,7,0,40,524,541.0,26.0,0.0,2.0,1,1,0
70951.0,0,0,66,1,0,29,421,1198.0,17.0,0.0,0.0,1,0,3
41443.0,1,0,79,8,0,37,89,482.0,20.0,0.0,1.0,1,0,0
52195.0,2,1,2,8,0,36,48,17.0,4.0,0.0,2.5,0,2,2
83790.0,0,0,81,3,0,66,226,1615.0,25.0,2.0,0.0,1,1,1
44551.0,0,1,24,7,0,60,302,285.0,12.0,0.0,1.0,0,1,1
69508.0,1,0,48,6,0,34,592,1135.0,28.0,0.0,1.0,1,0,3
45204.0,1,0,93,3,0,26,79,114.0,7.0,0.0,1.0,1,2,0
72460.0,0,0,56,1,0,45,227,1047.0,16.0,0.0,0.0,1,0,3
77622.0,0,2,3,3,0,44,76,714.0,22.0,0.0,2.0,1,1,3
30732.0,1,0,44,8,0,34,540,185.0,13.0,0.0,1.0,1,1,0
63887.0,0,1,38,6,0,52,659,1245.0,32.0,0.0,1.0,0,0,1
42011.0,1,0,46,8,0,36,460,189.0,12.0,0.0,1.0,1,0,0
51369.0,0,1,84,8,0,38,612,576.0,16.0,0.0,1.0,1,0,0
51537.0,0,1,27,8,0,62,567,1103.0,18.0,0.0,1.0,0,0,1
